time,trial
0.028515,1
0.025504,2
0.019314,3
0.013693,4
0.011104,5
0.009813,6
0.009350,7
0.008678,8
0.008631,9
0.008485,10
0.008216,11
0.009089,12
0.008752,13
0.008842,14
0.008860,15
