time,trial
0.007030,1
0.006616,2
0.006715,3
0.006881,4
0.006779,5
0.006436,6
0.006567,7
0.004853,8
0.004658,9
0.004237,10
0.003305,11
0.003545,12
0.003316,13
0.003212,14
0.002722,15
