time,trial
0.076787,1
0.047301,2
0.029770,3
0.025805,4
0.023854,5
0.025526,6
0.025521,7
0.025995,8
0.024775,9
0.025681,10
0.025021,11
0.025880,12
0.024788,13
0.025646,14
0.025700,15time,trial
0.087422,1
0.047080,2
0.031103,3
0.025571,4
0.024115,5
0.024731,6
0.024783,7
0.023064,8
0.025427,9
0.023282,10
0.025405,11
0.024299,12
0.025437,13
0.024938,14
0.026560,15
